Title,Subcategory,Link,Published,Authors,Summary
Advancing AI Trustworthiness Through Patient Simulation: Risk Assessment of Conversational Agents for Antidepressant Selection,"Judge Reliability And Calibration, Robustness And Sensitivity",[arXiv](http://arxiv.org/abs/2602.11391v1),2026-02-11,"Md Tanvir Rouf Shawon, Mohammad Sabik Irbaz, Hadeel R. A. Elyazori, et al.","Purpose: This paper introduces a patient simulator designed to enable scalable, automated evaluation of healthcare conversational agents through realistic and controllable patient interactions. Method: The simulator is grounded in the NIST AI Risk Management Framework and integrates three profile components reflecting different dimensions of patient variation, including medical, linguistic, and behavioral profiles. Results: The simulator effectively identified errors in an AI decision aid for antidepressant selection, revealing a degradation in performance across the health literacy spectrum with rank-one concept retrieval accuracy increasing from 47.9% to 81.6% as health literacy improved."
Bi-Level Prompt Optimization for Multimodal LLM-as-a-Judge,"Benchmark And Dataset Creation, Judge Reliability And Calibration",[arXiv](http://arxiv.org/abs/2602.11340v1),2026-02-11,"Bo Pan, Xuan Kan, Kaitai Zhang, et al.","Purpose: The purpose of this work is to improve the alignment of large language model (LLM) evaluations with human judgments, particularly in multimodal settings where AI-generated images are evaluated. Method: The method proposed in this paper, called Bi-Level Prompt Optimization (BLPO), converts images into textual representations and jointly refines the judge prompt and the image-to-text (I2T) prompt to maintain fidelity under limited context budgets. Results: The results of experiments on four datasets and three LLM judges demonstrate the effectiveness of the BLPO framework in evaluating AI-generated images, offering a more efficient alternative to supervised fine-tuning on human-labeled data."
CryptoAnalystBench: Failures in Multi-Tool Long-Form LLM Analysis,"Benchmark And Dataset Creation, Judge Reliability And Calibration",[arXiv](http://arxiv.org/abs/2602.11304v1),2026-02-11,"Anushri Eswaran, Oleg Golev, Darshan Tank, et al.","Purpose: The paper investigates the failure modes of large language models (LLMs) when analyzing complex, high-token inputs from multiple tools in a representative domain, specifically crypto and DeFi queries. Method: The authors introduce CryptoAnalystBench, a benchmark of 198 production crypto and DeFi queries, an agentic harness to generate responses across multiple LLMs, and an evaluation pipeline with citation verification and a judge rubric to assess the quality of the responses. Results: The study finds that even state-of-the-art systems exhibit persistent failures that can compromise high-stakes decisions, and proposes a refined judge rubric and error taxonomy to better capture these errors, enabling scalable feedback for developers and researchers."
FormalJudge: A Neuro-Symbolic Paradigm for Agentic Oversight,"Metrics And Scoring Methods, Benchmark And Dataset Creation",[arXiv](http://arxiv.org/abs/2602.11136v2),2026-02-11,"Jiayi Zhou, Yang Sheng, Hantao Lou, et al.","Purpose: The paper aims to address the dilemma of ensuring behavioral safety in large language model (LLM)-based agents operating in high-stakes domains by proposing a neuro-symbolic framework for agentic oversight. Method: The proposed framework, FormalJudge, employs a bidirectional Formal-of-Thought architecture that uses LLMs as specification compilers to translate natural language requirements into formal specifications and verify compliance using Dafny and Z3 solvers. Results: The experiments demonstrate that FormalJudge achieves an average improvement of 16.6% over LLM-as-a-Judge baselines, enables weak-to-strong generalization, and provides near-linear safety improvement through iterative refinement across three benchmarks and seven agent models."
In-the-Wild Model Organisms: Mitigating Undesirable Emergent Behaviors in Production LLM Post-Training via Data Attribution,Benchmark And Dataset Creation,[arXiv](http://arxiv.org/abs/2602.11079v2),2026-02-11,"Frank Xiao, Santiago Aranguri","Purpose: The paper proposes a method to mitigate undesirable emergent behaviors in production language models by tracing behavioral changes to responsible training datapoints using activation-based data attribution. Method: By computing activation-difference vectors and ranking by cosine similarity, the authors identify datapoints that cause specific behaviors and validate these attributions causally by retraining with modified data. Results: The proposed method is shown to be effective in reducing harmful behaviors, such as distractor-triggered compliance, by up to 78% while outperforming baseline methods at a lower computational cost."
S-GRec: Personalized Semantic-Aware Generative Recommendation with Asymmetric Advantage,"Judge Prompting Protocols, Benchmark And Dataset Creation",[arXiv](http://arxiv.org/abs/2602.10606v2),2026-02-11,"Jie Jiang, Hongbo Tang, Wenjie Wu, et al.","Purpose: The purpose of this paper is to present S-GRec, a semantic-aware framework that addresses the limitations of generative recommendation models by incorporating Large Language Models (LLMs) to provide rich semantic priors for training. Method: Methodologically, S-GRec decouples an online lightweight generator from an offline LLM-based semantic judge and introduces a two-stage Personalized Semantic Judge (PSJ) to produce interpretable aspect evidence and learn user-conditional aggregation from pairwise feedback. Results: Results from extensive experiments on public benchmarks and a large-scale production system demonstrate the effectiveness and scalability of S-GRec, including statistically significant gains in CTR and a 1.19% lift in GMV in online A/B tests."
RankLLM: Weighted Ranking of LLMs by Quantifying Question Difficulty,"Judge Reliability And Calibration, Benchmark And Dataset Creation",[arXiv](http://arxiv.org/abs/2602.12424v1),2026-02-12,"Ziqian Zhang, Xingjian Hu, Yue Huang, et al.","Purpose: The paper proposes a novel framework called RankLLM to quantify both question difficulty and model competency in evaluating large language models (LLMs), addressing the limitation of existing benchmarks that fail to differentiate question difficulty. Method: The core mechanism of RankLLM facilitates bidirectional score propagation between models and questions, where a model earns a competency score when it correctly answers a question, while a question's difficulty score increases when it challenges a model. Results: RankLLM achieves 90% agreement with human judgments, outperforms strong baselines, and exhibits strong stability, fast convergence, and high computational efficiency, making it a practical solution for large-scale, difficulty-aware LLM evaluation."
LaCy: What Small Language Models Can and Should Learn is Not Just a Question of Loss,Metrics And Scoring Methods,[arXiv](http://arxiv.org/abs/2602.12005v2),2026-02-12,"Szilvia Ujváry, Louis Béthune, Pierre Ablin, et al.","Purpose: The paper investigates the fundamental question of what small language models can and should learn during pretraining, versus what they should delegate to an outside source to prevent factual errors. Method: The researchers propose a novel pretraining method called LaCy, which uses a spaCy grammar parser to augment the loss signal and decide which tokens the model should learn to delegate. Results: The experiments demonstrate that LaCy models successfully learn which tokens to predict and where to delegate for help, resulting in higher FactScores and outperforming other methods while being simpler and cheaper."
LLM-based Triplet Extraction from Financial Reports,Metrics And Scoring Methods,[arXiv](http://arxiv.org/abs/2602.11886v1),2026-02-12,"Dante Wesslund, Ville Stenström, Pontus Linde, et al.","Purpose: The paper aims to present a semi-automated pipeline for extracting Subject-Predicate-Object triplets from corporate financial reports using Large Language Models (LLMs) and ontology-driven proxy metrics for evaluation. Method: The approach uses a combination of static and automated ontology induction methods, as well as a hybrid verification strategy that combines regex matching with LLM-based judgment to extract accurate triplets from financial reports. Results: The automatically induced ontology achieves 100% schema conformance and reduces subject hallucination rates from 65.2% to 1.6%, while also revealing a systematic asymmetry between subject and object hallucinations in financial prose."
Evaluating LLM Safety Under Repeated Inference via Accelerated Prompt Stress Testing,"Judge Reliability And Calibration, Benchmark And Dataset Creation",[arXiv](http://arxiv.org/abs/2602.11786v1),2026-02-12,Keita Broadwater,"Purpose: The paper aims to evaluate the safety of large language models (LLMs) under repeated inference, which is a critical aspect in high-stakes settings where response consistency and safety are essential. Method: The researchers introduce Accelerated Prompt Stress Testing (APST), a depth-oriented evaluation framework that repeatedly samples identical prompts under controlled conditions to surface latent failure modes and estimate per-inference failure probabilities. Results: The application of APST to multiple instruction-tuned LLMs reveals substantial differences in empirical failure rates under repeated sampling, particularly as temperature increases, demonstrating the need for a practical framework to evaluate LLM safety and reliability under repeated inference."
